Battery_ID,formula,working_ion,formula_charge,formula_discharge,voltage,capacity,volume_change
mp-1390795_Na,Na0-1MgMn4O8,Na,MgMn4O8,NaMgMn4O8,2.445934506551726,67.84461150338517,0.064200922216424
mp-16381_Na,Na0-1Mn6P7O24,Na,Mn6P7O24,NaMn6P7O24,3.74722532655176,28.110887013579315,0.022134280904756
mp-17142_Na,Na0-1CrP2O7,Na,CrP2O7,NaCrP2O7,4.6227713115517055,107.6670871431986,0.032443744631898
mp-17242_Na,Na0-0.5Nb2(PO4)3,Na,Nb2(PO4)3,NaNb4(PO4)6,1.630641366551746,27.78958251196314,0.003148608329688
mp-17461_Na,Na0-1TiP2O7,Na,TiP2O7,NaTiP2O7,1.773142271551723,109.48313289533192,0.037647887302018
mp-17479_Na,Na0-1VP2O7,Na,VP2O7,NaVP2O7,3.607397424051729,108.12516438539888,0.045256791319093
mp-17876_Na,Na0-1MnAsO4,Na,MnAsO4,NaMnAsO4,3.412239079051719,123.59626547938969,0.158095791572673
mp-18245_Na,Na0-1CoPO4,Na,CoPO4,NaCoPO4,4.456061781551721,151.51125369018754,0.149583805672986
mp-18435_Na,Na0-1MoP2O7,Na,MoP2O7,NaMoP2O7,3.185216206551719,91.51226848872884,0.028667360470238
mp-18493_Na,Na0-4Fe2(PO4)3,Na,Fe2(PO4)3,Na4Fe2(PO4)3,3.956551765301722,219.4310432592394,0.036937405438655
mp-18774_Na,Na0-1FeP2O7,Na,FeP2O7,NaFeP2O7,4.957626966551718,106.02770516065304,0.013703893453999
mp-19000_Na,Na0-1VPO5,Na,VPO5,NaVPO5,3.419470574051725,144.9496306764634,0.168405659897193
mp-19226_Na,Na0-1FePO4,Na,FePO4,NaFePO4,3.072423191551724,154.2033123226646,0.169555702732158
mp-19287_Na,Na0-1V(SiO3)2,Na,V(SiO3)2,NaV(SiO3)2,3.032066876551727,118.538871682491,0.051879685586197
mp-19349_Na,Na0-1Mn(SiO3)2,Na,Mn(SiO3)2,NaMn(SiO3)2,3.820904876551725,116.47995908663056,0.090055743507113
mp-19367_Na,Na0-1Cr(SiO3)2,Na,Cr(SiO3)2,NaCr(SiO3)2,4.195462576551723,117.98853360251267,0.044874089842316
mp-19470_Na,Na0-4Ni7(PO4)6,Na,Ni7(PO4)6,Na4Ni7(PO4)6,4.37764028905173,99.94575973892462,0.000745124247177
